Connecting to host 10.1.1.3, port 5010
[  4] local 10.1.1.2 port 41286 connected to 10.1.1.3 port 5010
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  19.30-19.40  sec  2.50 MBytes   209 Mbits/sec    0    194 KBytes       
[  4]  19.40-19.50  sec  1.25 MBytes   105 Mbits/sec    0    199 KBytes       
[  4]  19.50-19.60  sec  1.25 MBytes   104 Mbits/sec    0    205 KBytes       
[  4]  19.60-19.70  sec  1.25 MBytes   105 Mbits/sec    0    212 KBytes       
[  4]  19.70-19.80  sec  2.50 MBytes   210 Mbits/sec    3    189 KBytes       
[  4]  19.80-19.90  sec  1.25 MBytes   105 Mbits/sec    0    156 KBytes       
[  4]  19.90-20.00  sec  1.25 MBytes   105 Mbits/sec    0    161 KBytes       
[  4]  20.00-20.10  sec  1.25 MBytes   105 Mbits/sec    0    167 KBytes       
[  4]  20.10-20.20  sec  1.25 MBytes   105 Mbits/sec    0    174 KBytes       
[  4]  20.20-20.30  sec  1.25 MBytes   105 Mbits/sec    0    182 KBytes       
[  4]  20.30-20.40  sec  3.75 MBytes   313 Mbits/sec    0    194 KBytes       
[  4]  20.40-20.50  sec  2.50 MBytes   211 Mbits/sec    0    205 KBytes       
[  4]  20.50-20.60  sec  1.25 MBytes   105 Mbits/sec    0    212 KBytes       
[  4]  20.60-20.70  sec  2.50 MBytes   210 Mbits/sec    0    218 KBytes       
[  4]  20.70-20.80  sec  1.25 MBytes   105 Mbits/sec    0    225 KBytes       
[  4]  20.80-20.90  sec  1.25 MBytes   106 Mbits/sec    0    230 KBytes       
[  4]  20.90-21.00  sec  2.50 MBytes   207 Mbits/sec    0    235 KBytes       
[  4]  21.00-21.10  sec  1.25 MBytes   105 Mbits/sec    0    242 KBytes       
[  4]  21.10-21.20  sec  2.50 MBytes   210 Mbits/sec    0    246 KBytes       
[  4]  21.20-21.30  sec  1.25 MBytes   105 Mbits/sec    0    253 KBytes       
[  4]  21.30-21.40  sec  2.50 MBytes   210 Mbits/sec    0    259 KBytes       
[  4]  21.40-21.50  sec  2.50 MBytes   210 Mbits/sec    0    264 KBytes       
[  4]  21.50-21.60  sec  1.25 MBytes   105 Mbits/sec    0    272 KBytes       
[  4]  21.60-21.70  sec  2.50 MBytes   210 Mbits/sec    0    276 KBytes       
[  4]  21.70-21.80  sec  2.50 MBytes   209 Mbits/sec    0    283 KBytes       
[  4]  21.80-21.90  sec  1.25 MBytes   105 Mbits/sec    0    288 KBytes       
[  4]  21.90-22.00  sec  2.50 MBytes   210 Mbits/sec    0    294 KBytes       
